Name1,Name2,Stamina,Exp,HP,Tame,Vitality,Armour,Speed,Power
Stamina Flax Flower X Stamina Flax Flower,Stamina Flax Flower X Stamina Flax Flower,60,0,0,20,0,0,0,0
Stamina Flax Flower X Tame Flax Flower,Tame Flax Flower X Stamina Flax Flower,50,0,0,25,0,0,0,0
Stamina Flax Flower X Flax Flower,Flax Flower X Stamina Flax Flower,50,0,0,20,0,0,0,0
Stamina Flax Flower X Stamina Magic Mushroom,Stamina Magic Mushroom X Stamina Flax Flower,180,0,0,10,0,0,0,0
Stamina Flax Flower X Stamina Snow Flobes,Stamina Snow Flobes X Stamina Flax Flower,150,0,0,10,0,0,0,0
Stamina Flax Flower X Stamina Squish,Stamina Squish X Stamina Flax Flower,120,0,0,10,0,0,0,0
Stamina Flax Flower X Stamina Stonefruit,Stamina Stonefruit X Stamina Flax Flower,105,0,0,10,0,0,0,0
Stamina Flax Flower X Stamina Snowdrop Flower,Stamina Snowdrop Flower X Stamina Flax Flower,90,500,0,110,0,0,0,0
Stamina Flax Flower X Stamina Icicle Root,Stamina Icicle Root X Stamina Flax Flower,90,0,0,10,-5,5,-5,-5
Stamina Flax Flower X Stamina Sweater Plant,Stamina Sweater Plant X Stamina Flax Flower,90,0,0,10,0,3,0,0
Stamina Flax Flower X Stamina Chilly Berry,Stamina Chilly Berry X Stamina Flax Flower,90,0,0,10,1,1,0,0
Stamina Flax Flower X Stamina Bulbshroom,Stamina Bulbshroom X Stamina Flax Flower,90,0,0,10,0,0,3,3
Stamina Flax Flower X Stamina Ruby Plant,Stamina Ruby Plant X Stamina Flax Flower,90,0,0,10,2,0,2,2
Stamina Flax Flower X Stamina Snowman Plant,Stamina Snowman Plant X Stamina Flax Flower,90,0,50,10,1,0,0,0
Stamina Flax Flower X Stamina Gift Plant,Stamina Gift Plant X Stamina Flax Flower,90,1000,0,10,0,0,0,0
Stamina Flax Flower X Stamina Cresent Plant,Stamina Cresent Plant X Stamina Flax Flower,90,0,0,10,5,0,0,0
Stamina Flax Flower X Stamina Beach Peach,Stamina Beach Peach X Stamina Flax Flower,90,0,0,10,0,0,0,0
Stamina Flax Flower X Stamina Popcorn Plant,Stamina Popcorn Plant X Stamina Flax Flower,90,0,0,10,0,-1,0,0
Stamina Flax Flower X Stamina Black Pearl,Stamina Black Pearl X Stamina Flax Flower,90,0,0,10,0,-3,0,5
Stamina Flax Flower X Stamina Spectre Flower,Stamina Spectre Flower X Stamina Flax Flower,75,0,0,60,0,0,-2,0
Stamina Flax Flower X Stamina Flag Flower,Stamina Flag Flower X Stamina Flax Flower,75,0,0,50,0,0,0,0
Stamina Flax Flower X Stamina Skeleplant,Stamina Skeleplant X Stamina Flax Flower,75,0,0,10,-2,2,0,0
Stamina Flax Flower X Stamina Electricone,Stamina Electricone X Stamina Flax Flower,75,0,0,10,0,0,0,4
Stamina Flax Flower X Stamina Fuzzball,Stamina Fuzzball X Stamina Flax Flower,75,0,0,10,1,0,1,1
Stamina Flax Flower X Stamina Wilowisp,Stamina Wilowisp X Stamina Flax Flower,75,250,0,10,0,0,0,0
Stamina Flax Flower X Stamina Plantern,Stamina Plantern X Stamina Flax Flower,75,0,0,10,0,0,4,0
Stamina Flax Flower X Stamina Heat Plant,Stamina Heat Plant X Stamina Flax Flower,75,0,0,10,4,0,0,0
Stamina Flax Flower X Stamina Ghostshroom,Stamina Ghostshroom X Stamina Flax Flower,75,0,100,10,0,0,0,0
Stamina Flax Flower X Stamina Colberry,Stamina Colberry X Stamina Flax Flower,75,0,40,10,0,0,0,0
Stamina Flax Flower X Stamina Applum,Stamina Applum X Stamina Flax Flower,75,0,20,10,0,0,0,0
Stamina Flax Flower X Stamina Tiny Flower,Stamina Tiny Flower X Stamina Flax Flower,60,50,0,40,0,0,0,0
Stamina Flax Flower X Stamina Sun Flower,Stamina Sun Flower X Stamina Flax Flower,60,0,0,40,0,0,2,0
Stamina Flax Flower X Stamina Fire Flower,Stamina Fire Flower X Stamina Flax Flower,60,0,0,40,0,0,0,0
Stamina Flax Flower X Stamina Pinwheel Flower,Stamina Pinwheel Flower X Stamina Flax Flower,60,0,0,30,1,0,0,0
Stamina Flax Flower X Stamina Zaplant,Stamina Zaplant X Stamina Flax Flower,60,0,0,10,0,1,0,3
Stamina Flax Flower X Stamina Wingfruit,Stamina Wingfruit X Stamina Flax Flower,60,0,0,10,-8,0,0,8
Stamina Flax Flower X Stamina Lilypad,Stamina Lilypad X Stamina Flax Flower,60,0,15,10,0,0,0,0
Stamina Flax Flower X Stamina CatTail,Stamina CatTail X Stamina Flax Flower,60,0,0,10,0,0,3,0
Stamina Flax Flower X Stamina Umbrellashroom,Stamina Umbrellashroom X Stamina Flax Flower,60,0,0,10,-1,0,0,2
Stamina Flax Flower X Stamina Mossball,Stamina Mossball X Stamina Flax Flower,60,0,10,10,0,0,1,1
Stamina Flax Flower X Stamina Popsiplant,Stamina Popsiplant X Stamina Flax Flower,60,0,0,10,1,0,2,0
Stamina Flax Flower X Stamina Hot Air Fruit,Stamina Hot Air Fruit X Stamina Flax Flower,60,50,20,10,0,0,0,0
Stamina Flax Flower X Stamina Bolt,Stamina Bolt X Stamina Flax Flower,60,0,0,10,0,0,5,0
Stamina Flax Flower X Stamina Flameroot,Stamina Flameroot X Stamina Flax Flower,60,0,0,10,0,0,4,0
Stamina Flax Flower X Stamina Bloodroot,Stamina Bloodroot X Stamina Flax Flower,60,0,0,10,5,0,-5,0
Stamina Flax Flower X Stamina Eyeberry,Stamina Eyeberry X Stamina Flax Flower,60,100,0,10,0,0,0,0
Stamina Flax Flower X Stamina Nimbus Plant,Stamina Nimbus Plant X Stamina Flax Flower,60,0,0,10,0,0,0,3
Stamina Flax Flower X Stamina Hot Pepper,Stamina Hot Pepper X Stamina Flax Flower,60,0,0,10,3,0,0,0
Stamina Flax Flower X Stamina Yarrow,Stamina Yarrow X Stamina Flax Flower,60,0,30,10,0,0,0,0
Stamina Flax Flower X Stamina Spirit Bane,Stamina Spirit Bane X Stamina Flax Flower,60,0,0,10,0,0,-5,5
Stamina Flax Flower X Stamina Prickly Plant,Stamina Prickly Plant X Stamina Flax Flower,60,0,0,10,0,0,0,-4
Stamina Flax Flower X Stamina Erdenleaf,Stamina Erdenleaf X Stamina Flax Flower,60,0,0,10,0,-2,0,0
Stamina Flax Flower X Exp Snowdrop Flower,Exp Snowdrop Flower X Stamina Flax Flower,70,750,0,110,0,0,0,0
Stamina Flax Flower X Exp Gift Plant,Exp Gift Plant X Stamina Flax Flower,70,1500,0,10,0,0,0,0
Stamina Flax Flower X Exp Wilowisp,Exp Wilowisp X Stamina Flax Flower,60,375,0,10,0,0,0,0
Stamina Flax Flower X Exp Tiny Flower,Exp Tiny Flower X Stamina Flax Flower,50,75,0,40,0,0,0,0
Stamina Flax Flower X Exp Hot Air Fruit,Exp Hot Air Fruit X Stamina Flax Flower,50,75,20,10,0,0,0,0
Stamina Flax Flower X Exp Eyeberry,Exp Eyeberry X Stamina Flax Flower,50,150,0,10,0,0,0,0
Stamina Flax Flower X Health Snowman Plant,Health Snowman Plant X Stamina Flax Flower,70,0,75,10,1,0,0,0
